397: BillHaas 71.979222; 90% interval: (69.138463, 72.899612)
398: BartBryant 72.006641; 90% interval: (71.712949, 72.493016)
399: RyanMoore 72.014587; 90% interval: (71.305961, 72.268992)
400: ChrisStroud 72.018306; 90% interval: (71.147590, 72.840646)
401: MattLoving 72.018420; 90% interval: (71.618974, 72.567268)
402: ChezReavie 72.020461; 90% interval: (71.530066, 72.633265)
403: TimPetrovic 72.038034; 90% interval: (71.818313, 73.129703)
404: JimMcGovern 72.040479; 90% interval: (71.810219, 72.582365)
405: GeorgeBradford 72.044032; 90% interval: (71.818313, 72.707275)
406: CraigThomas 72.112524; 90% interval: (71.547381, 72.603711)
407: SteveLowery 72.112601; 90% interval: (71.039213, 72.566500)
408: RogerMaltbie 72.129796; 90% interval: (71.182569, 72.321130)
409: DickyPride 72.131224; 90% interval: (71.818313, 72.664821)
410: BenCrenshaw 72.141288; 90% interval: (70.948219, 72.214864)
411: BlaineMcCallister 72.143680; 90% interval: (71.468058, 72.449939)
412: JoeyMaxon 72.161828; 90% interval: (71.356781, 72.513180)
413: ShawnKelly 72.172364; 90% interval: (71.818313, 73.719566)
414: PatrickDamron 72.186107; 90% interval: (71.736166, 73.084696)
